TRADING_CODE,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
KPCL,2026-08-11,11,11.9,11,11.7,3433625
KPPL,2026-08-11,15.3,15.5,15.2,15.3,182977
KTL,2026-08-11,11.5,11.9,11.4,11.8,513787
LANKABAFIN,2026-08-11,17.5,18.3,17.4,18.1,3245143
LEGACYFOOT,2026-08-11,78,79.5,75.7,76.5,893913
LHB,2026-08-11,57.5,58.1,56.8,57.9,809267
LIBRAINFU,2026-08-11,636.2,642,630,632.5,2604
LINDEBD,2026-08-11,720,724,720,722.6,2829
LOVELLO,2026-08-11,68.3,69.9,68.3,68.8,906110
LRBDL,2026-08-11,15.7,16.3,15.7,15.9,719917
LRGLOBMF1,2026-08-11,4.9,5.1,4.9,5,782402
MAGURAPLEX,2026-08-11,91.9,93.8,91.9,92.7,80228
MAKSONSPIN,2026-08-11,6.3,6.6,6.3,6.5,423636
MALEKSPIN,2026-08-11,45.5,47,45.5,46.2,6797563
MARICO,2026-08-11,2720,2727.5,2718,2722.6,1616
MATINSPINN,2026-08-11,60.5,62,60.5,61.8,346993
MBL1STMF,2026-08-11,8.3,9,8.3,8.7,4352292
MBPLCPBOND,2026-08-11,0,0,0,0,0
MEGCONMILK,2026-08-11,32.8,33.6,32.5,33.3,37719
MEGHNACEM,2026-08-11,32,32,31.7,31.7,4857
MEGHNAINS,2026-08-11,41.5,42.4,40.2,40.5,2551907
MEGHNALIFE,2026-08-11,62.6,63.3,62,62,117805
MEGHNAPET,2026-08-11,77.2,80.7,77,80.3,45885
MERCANBANK,2026-08-11,7.4,7.4,7.3,7.3,109607
MERCINS,2026-08-11,45.5,46.4,45.3,45.8,563450
METROSPIN,2026-08-11,9.6,9.6,9.4,9.5,42638
MHSML,2026-08-11,22.5,22.8,22.3,22.4,1194657
MIDASFIN,2026-08-11,5.9,6,5.6,5.9,359002
MIDLANDBNK,2026-08-11,18.3,19.3,18.1,19.1,4144799
MIRACLEIND,2026-08-11,31.2,32.9,31.2,31.8,696376
MIRAKHTER,2026-08-11,41.4,42,41.1,41.3,455309
MITHUNKNIT,2026-08-11,13.6,14.1,13.6,13.9,62120
MJLBD,2026-08-11,92.6,93.9,92.2,92.7,86954
MLDYEING,2026-08-11,18.6,19.1,17.9,18.2,13150775
MONNOAGML,2026-08-11,350.8,350.8,347.5,350.6,7986
MONNOCERA,2026-08-11,94.6,95.4,94.2,94.9,212437
MONNOFABR,2026-08-11,24.3,24.5,24,24.1,2631190
MONOSPOOL,2026-08-11,118.5,119.2,117.4,118.5,230760
MPETROLEUM,2026-08-11,214,215.6,214,214.3,14570
MTB,2026-08-11,13.5,13.6,13.3,13.5,1347171
MTBPBOND,2026-08-11,0,0,0,0,0
NAHEEACP,2026-08-11,36.2,37,36,36.8,376727
NATLIFEINS,2026-08-11,104.9,105.5,103.8,104.6,42593
NAVANACNG,2026-08-11,22.6,22.8,22.6,22.6,86911
NAVANAPHAR,2026-08-11,69,70.6,69,69.9,255074
NBL,2026-08-11,3.7,3.8,3.6,3.8,1001067
NCCBANK,2026-08-11,15.4,15.8,15.4,15.7,6438545
NCCBLMF1,2026-08-11,7.3,7.4,7.1,7.1,557562
NEWLINE,2026-08-11,7.1,7.3,6.9,7,434707
NFML,2026-08-11,20.2,20.5,19.8,20.3,1323442
NHFIL,2026-08-11,29.8,30.4,28.8,30.1,747965
NITOLINS,2026-08-11,48.2,48.8,46.8,47.5,1588398
NORTHERN,2026-08-11,115.6,115.6,114,114.2,2302
NORTHRNINS,2026-08-11,45,45.3,42.6,43,598167
NPOLYMER,2026-08-11,36,36.6,36,36.4,353329
NRBBANK,2026-08-11,6.8,7,6.7,7,645564
NRBCBANK,2026-08-11,9.2,9.9,8.9,9.9,3858516
NTC,2026-08-11,165,172,165,168.1,927
NTLTUBES,2026-08-11,70,70.9,69.4,70.3,232707
NURANI,2026-08-11,3.1,3.3,3.1,3.3,1125271
OAL,2026-08-11,7,7,6.8,6.8,340892
OIMEX,2026-08-11,16.4,16.4,16.1,16.3,192356
OLYMPIC,2026-08-11,150.6,154,150.6,153,164359
ONEBANKPLC,2026-08-11,7.9,8.2,7.9,8.1,1164097
ORIONINFU,2026-08-11,269,273.8,267.3,269.1,165118
ORIONPHARM,2026-08-11,29.2,29.2,28.7,28.8,177253
PADMALIFE,2026-08-11,17.9,18.5,17.9,18.4,25472
PADMAOIL,2026-08-11,200.4,201,199.9,200,28804
PARAMOUNT,2026-08-11,63.9,64.5,62.6,62.9,250466
PBLPBOND,2026-08-11,0,0,0,0,0
PDL,2026-08-11,5.9,6,5.7,5.8,364339
PENINSULA,2026-08-11,24.9,24.9,24.5,24.7,133376
PEOPLESINS,2026-08-11,64.9,65.5,63.7,64.7,1318714
PF1STMF,2026-08-11,14.2,14.6,13.9,14.1,1279492
PHARMAID,2026-08-11,615,622.5,612,614.1,22936
PHENIXINS,2026-08-11,50.9,51.6,49.2,49.8,1290371
PHOENIXFIN,2026-08-11,4.1,4.3,4.1,4.2,178000
PHPMF1,2026-08-11,4,4.1,3.9,4,1149438
PIONEERINS,2026-08-11,69.7,71.4,69.2,69.9,790283
PLFSL,2026-08-11,1.8,2.2,1.8,1.9,8515915
POPULAR1MF,2026-08-11,4,4.1,3.9,4,1136790
POPULARLIF,2026-08-11,61.5,61.9,60.5,60.7,178016
