TRADING_CODE,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
TB20Y1033,2026-08-11,0,0,0,0,0
TB20Y1034,2026-08-11,0,0,0,0,0
TB20Y1127,2026-08-11,0,0,0,0,0
TB20Y1128,2026-08-11,0,0,0,0,0
TB20Y1130,2026-08-11,0,0,0,0,0
TB20Y1131,2026-08-11,0,0,0,0,0
TB20Y1132,2026-08-11,0,0,0,0,0
TB20Y1133,2026-08-11,0,0,0,0,0
TB20Y1134,2026-08-11,0,0,0,0,0
TB20Y1135,2026-08-11,0,0,0,0,0
TB20Y1138,2026-08-11,0,0,0,0,0
TB20Y1227,2026-08-11,0,0,0,0,0
TB20Y1228,2026-08-11,0,0,0,0,0
TB20Y1229,2026-08-11,0,0,0,0,0
TB20Y1230,2026-08-11,0,0,0,0,0
TB20Y1231,2026-08-11,0,0,0,0,0
TB20Y1232,2026-08-11,0,0,0,0,0
TB20Y1233,2026-08-11,0,0,0,0,0
TB20Y1242,2026-08-11,0,0,0,0,0
TB2Y0127,2026-08-11,0,0,0,0,0
TB2Y0227,2026-08-11,0,0,0,0,0
TB2Y0327,2026-08-11,100.84,100.84,100.84,100.84,9000
TB2Y0427,2026-08-11,0,0,0,0,0
TB2Y0527,2026-08-11,0,0,0,0,0
TB2Y0627,2026-08-11,0,0,0,0,0
TB2Y0727,2026-08-11,0,0,0,0,0
TB2Y0927,2026-08-11,0,0,0,0,0
TB2Y1026,2026-08-11,0,0,0,0,0
TB2Y1126,2026-08-11,0,0,0,0,0
TB2Y1127,2026-08-11,0,0,0,0,0
TB5Y0128,2026-08-11,97.66,97.66,97.66,97.66,10000
TB5Y0230,2026-08-11,0,0,0,0,0
TB5Y0327,2026-08-11,0,0,0,0,0
TB5Y0428,2026-08-11,0,0,0,0,0
TB5Y0429,2026-08-11,0,0,0,0,0
TB5Y0430,2026-08-11,0,0,0,0,0
TB5Y0527,2026-08-11,0,0,0,0,0
TB5Y0529,2026-08-11,0,0,0,0,0
TB5Y0628,2026-08-11,0,0,0,0,0
TB5Y0630,2026-08-11,0,0,0,0,0
TB5Y0727,2026-08-11,0,0,0,0,0
TB5Y0828,2026-08-11,0,0,0,0,0
TB5Y0926,2026-08-11,0,0,0,0,0
TB5Y0928,2026-08-11,0,0,0,0,0
TB5Y0930,2026-08-11,0,0,0,0,0
TB5Y1029,2026-08-11,0,0,0,0,0
TB5Y1126,2026-08-11,0,0,0,0,0
TB5Y1127,2026-08-11,0,0,0,0,0
TB5Y1128,2026-08-11,0,0,0,0,0
TB5Y1130,2026-08-11,0,0,0,0,0
TB5Y1228,2026-08-11,0,0,0,0,0
TB5Y1229,2026-08-11,106.49,106.49,106.49,106.49,25000
TECHNODRUG,2026-08-11,46.7,46.8,45.7,45.9,1164870
TILIL,2026-08-11,53.3,53.8,52.1,52.3,313020
TITASGAS,2026-08-11,20.3,20.4,20,20.2,274773
TOSRIFA,2026-08-11,23,23.6,23,23.2,315155
TRUSTB1MF,2026-08-11,4.1,4.2,4,4.1,3029047
TRUSTBANK,2026-08-11,15.4,15.5,15.3,15.5,4620089
TUNGHAI,2026-08-11,4.6,4.6,4.4,4.6,6398705
UCB,2026-08-11,9.4,9.6,9.4,9.5,271278
UCB2PBOND,2026-08-11,0,0,0,0,0
UNILEVERCL,2026-08-11,2042.2,2052,2042.1,2049.4,180
UNIONBANK,2026-08-11,0,0,0,0,0
UNIONCAP,2026-08-11,4.9,4.9,4.7,4.8,347612
UNIONINS,2026-08-11,52.2,53.8,51.5,51.9,518233
UNIQUEHRL,2026-08-11,43.6,44.5,43.6,44.3,272181
UNITEDFIN,2026-08-11,18.5,19.7,18.5,19.4,2458303
UNITEDINS,2026-08-11,69,69.8,66,66.8,531384
UPGDCL,2026-08-11,122.3,123.4,121,122.4,40537
USMANIAGL,2026-08-11,69.4,70,67.3,67.4,35250
UTTARABANK,2026-08-11,21,21.3,20.9,21.3,4102043
UTTARAFIN,2026-08-11,13.5,13.6,13.3,13.5,28751
VAMLBDMF1,2026-08-11,0,0,0,0,0
VAMLRBBF,2026-08-11,8.2,8.3,8.1,8.2,145877
VFSTDL,2026-08-11,16.8,16.9,16.5,16.5,1243926
WALTONHIL,2026-08-11,390,393.9,390,392.7,13223
WATACHEM,2026-08-11,143.2,146.9,140.5,145.9,82080
WMSHIPYARD,2026-08-11,10.2,10.3,10.1,10.2,547280
YPL,2026-08-11,23.7,24.3,23.7,23.8,314943
ZAHEENSPIN,2026-08-11,5.6,5.7,5.5,5.6,371132
ZAHINTEX,2026-08-11,8.9,9,8.8,8.8,85150
ZEALBANGLA,2026-08-11,219.7,219.7,209,210.3,26157
